transcript_id,S1.c2,S10.c2,S11.c2,S12.c2,S2.c2,S3.c2,S4.c2,S5.c2,S6.c2,S7.c2,S8.c2,S9.c2
NR_029544,0,0,0,0,0,0,0,0,0,0,0,0
NM_010852,0,0,0,0,0,0,246,366,0,0,0,0
NM_001163686,0,0,5,7,0,0,7,0,0,0,0,0
NM_019789,0,0,0,0,0,0,0,0,0,0,0,0
NM_172269,972,986,828,713,815,377,741,791,945,560,1321,925
NM_172268,1584,1651,1352,1184,1372,600,1353,1450,1661,1132,2617,1811
NM_207206,81,94,114,82,89,23,65,173,246,147,229,85
NM_207207,680,719,666,567,577,280,566,647,695,440,975,727
NM_207204,637,869,699,643,634,278,606,679,778,471,1255,789
NM_146865,0,0,0,0,0,0,0,0,0,0,0,0
NM_146866,0,0,0,0,0,0,0,0,0,0,0,0
NM_198169,687,902,701,626,568,311,702,658,686,525,1133,776
NM_001100455,0,0,0,0,0,0,0,0,0,0,0,0
NM_001012704,0,0,0,0,2,0,0,3,0,3,0,0
NM_011427,3086,2726,2703,2082,2131,937,2043,3484,3438,2363,6423,2885
NM_001081310,2,0,0,0,4,3,0,3,0,2,3,0
NM_146461,0,0,0,0,0,0,0,0,0,0,0,0
NM_146462,0,0,0,0,0,0,0,0,0,0,0,0
NM_146463,0,0,0,0,0,0,0,0,0,0,0,0
NR_027852,346,280,269,159,280,154,143,103,124,81,243,311
NM_011044,0,0,0,0,0,0,0,0,0,0,0,0
NM_146262,0,0,0,0,0,0,0,0,0,0,0,0
NM_146263,0,0,0,0,0,0,0,0,0,0,0,0
NM_023565,1377,1488,1188,919,1372,638,1385,1809,2266,1298,2446,1458
NM_001081083,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081084,0,13,5,4,3,3,8,20,47,6,43,12
NM_001081085,0,0,0,0,0,0,6,27,96,51,45,0
NM_001081086,1512,1826,1476,1096,1190,609,1365,1338,1646,1096,2335,1522
NM_001081087,0,8,2,0,3,0,2,4,10,0,5,4
NM_001081088,3,25,2,7,2,0,2,7,44,2,27,5
NM_001081089,0,0,5,0,5,0,3,2,14,0,0,0
NR_110992,225,204,101,146,119,73,90,189,186,146,194,175
NM_172669,500,922,850,748,942,380,637,749,588,474,1804,1015
NM_172668,22533,21433,17963,13908,16005,7852,17547,14384,10084,12394,28555,21362
NM_011428,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145644,0,0,0,0,0,0,0,0,0,0,0,0
NM_001139503,59,38,83,56,36,25,118,62,30,138,87,75
NM_172661,2949,3005,8789,1373,3264,2005,2344,2262,4630,6574,15462,10782
NM_172660,580,758,555,498,525,233,527,651,804,425,973,689
NM_172663,1325,1628,1404,1089,1172,665,1221,1188,1126,918,1762,1508
NM_172662,226,372,286,192,192,110,192,218,284,178,335,267
NM_001139509,763,1167,0,994,834,462,1329,529,0,1551,1152,248
NM_172664,1343,1383,1295,899,1242,571,1273,1061,1342,996,1880,1389
NM_172667,0,0,0,0,0,0,0,0,0,166,408,0
NM_172666,1272,1327,1212,771,995,579,1147,1296,1650,1064,2000,1207
NM_146772,0,0,0,0,0,0,0,0,0,0,0,0
NM_146985,0,0,0,0,0,0,0,0,0,0,0,0
NM_028072,2425,2250,2989,3775,2852,1685,2903,2120,1629,1903,2566,3018
NM_147021,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081228,181,202,196,128,142,76,147,138,160,92,153,193
NM_147029,0,0,0,0,0,0,0,0,0,0,0,0
NM_147028,0,0,0,0,0,0,0,0,0,0,0,0
NM_146579,23,32,24,30,34,8,24,21,13,6,35,33
NR_040532,0,0,0,0,0,0,0,0,0,0,0,0
NR_040533,0,0,0,0,0,0,0,0,0,0,0,0
NR_040530,0,0,0,0,0,0,0,0,0,0,0,0
NM_001037929,0,0,0,0,0,0,0,0,0,0,0,0
NM_146396,0,0,0,0,0,0,0,0,0,0,0,0
NM_146394,0,0,0,0,0,0,0,0,0,0,0,0
NM_011675,2078,2253,1803,1626,1657,751,1580,1346,1367,795,1884,2188
NM_146582,0,0,0,0,0,0,0,0,0,0,0,0
NM_146393,0,0,0,0,0,0,0,0,0,0,0,0
NM_146391,0,0,0,0,0,0,0,0,0,0,0,0
NM_183262,503,826,662,354,623,51,524,765,879,678,870,808
NM_018785,1452,1611,1367,957,994,625,1293,1514,1767,1308,2568,1459
NM_001290444,0,0,0,0,0,0,0,0,0,0,0,0
NM_011805,298,472,82,293,243,169,313,353,334,306,777,98
NR_035406_6,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_5,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_4,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_3,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_2,0,0,0,0,0,0,0,0,0,0,0,0
NR_035406_1,0,0,0,0,0,0,0,0,0,0,0,0
NR_110333,0,0,0,0,0,0,0,0,0,0,0,0
NR_027344,300,404,316,295,293,139,287,310,328,312,400,398
NR_110447,0,0,0,0,0,0,0,0,0,0,0,0
NR_027343,2,49,236,3,301,262,49,101,323,275,646,7
NR_110334,0,0,16,0,17,1,0,0,0,0,0,0
NM_011513,1495,1388,1127,968,1274,541,1133,1278,1657,864,2029,1404
NM_011512,8224,9200,8192,5742,7268,3325,7918,11562,13547,8285,19195,8656
NM_146649,0,0,0,0,0,0,0,0,0,0,0,0
NM_146644,0,0,0,0,0,0,0,0,0,0,0,0
NM_146645,0,0,0,0,0,0,0,0,0,0,0,0
NM_146130,2336,7474,1850,3685,2321,2207,5623,7458,4329,2033,3942,2483
NM_001281816,0,1,0,0,0,0,0,0,0,0,0,1
NM_146640,0,0,0,0,0,0,0,0,0,0,0,0
NR_028553,0,0,0,0,0,0,0,0,0,0,0,0
NM_146642,0,0,0,0,0,0,0,0,0,0,0,0
NM_146643,0,0,0,0,0,0,0,0,0,0,0,0
NR_040330,0,0,4,0,0,0,2,0,0,0,0,0
NR_040331,0,0,0,0,0,0,0,0,0,0,0,4
NR_045877,37,24,26,17,18,3,17,12,6,4,16,22
NR_040333,0,0,0,0,0,0,0,0,0,0,0,0
NR_040334,50,57,54,44,58,21,64,39,39,45,61,51
NR_040335,7,3,5,0,0,0,0,5,10,0,6,0
NR_040336,0,0,0,0,0,0,0,0,0,0,0,5
NM_175112,962,1080,894,737,829,400,813,877,962,658,1482,1032
NM_175113,325,449,347,291,315,122,337,495,524,429,869,396
NM_019729,2370,2703,2300,1724,2037,978,2152,2323,2578,1761,3700,2534
NM_001163566,0,14,5,4,2,0,0,5,27,2,9,6
NM_001038641,0,17,60,47,3,18,0,1,0,0,0,82
NR_037254_1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145821,86,177,0,63,0,0,118,0,0,0,70,50
NM_001145820,0,305,130,0,190,0,312,158,145,0,512,0
NM_001145824,517,1577,1482,667,4,729,1887,545,762,617,3125,1450
NM_001145351,15,19,0,12,19,0,12,13,13,18,31,15
NM_001177709,0,0,0,0,0,0,0,52,0,0,0,0
NM_010576,5,11,5,5,6,9,5,11,19,20,49,7
NM_008491,48,277,177,122,38,25,54,3939,2371,4943,16064,223
NM_001130000,1474,1821,198,137,1309,0,670,1149,1331,267,2177,1607
NR_037217,4,5,5,10,3,2,13,4,4,5,4,13
NM_001177706,38,50,23,32,53,16,36,1276,56,46,111,95
NM_001252538,325,358,527,160,285,153,299,358,404,0,347,227
NM_026104,0,0,0,0,0,0,0,0,0,0,0,0
NM_001252533,1,0,1,0,0,109,1,0,229,261,1,1
NM_001252536,1,3,8,7,2,0,3,2,4,66,2,1
NM_001252537,642,448,526,203,342,197,389,560,485,490,1120,789
NM_008948,2804,3444,2902,2293,2494,1240,2594,3697,4469,2902,6370,3039
NM_146730,0,0,0,0,0,0,0,0,0,0,0,0
NM_027085,5,31,10,0,4,4,6,9,17,3,10,11
NM_001005424,24,29,35,22,32,8,20,22,24,11,30,30
NM_001005425,0,0,0,0,0,0,0,0,0,0,0,0
NM_001005420,209,183,204,130,163,69,140,182,209,118,304,202
NM_178750,211,232,175,181,229,91,226,229,248,176,397,202
NM_029859,0,0,0,0,0,0,0,0,0,0,0,0
NM_009301,0,0,0,0,0,0,0,0,0,0,0,0
NM_009300,0,0,0,0,0,0,0,0,0,0,0,0
NM_027715,916,874,771,697,694,352,738,503,471,379,800,1060
NR_028486,0,0,0,0,0,0,0,0,0,0,0,0
NR_028487,0,0,0,0,0,0,0,0,0,0,0,0
NM_177244,249,277,207,194,239,111,262,209,207,160,377,215
NM_026045,1223,1472,1201,950,1180,545,1063,1058,1135,818,1712,1418
NM_026044,344,436,358,265,284,133,305,283,315,221,404,395
NM_026592,293,452,368,208,361,120,298,350,394,212,437,400
NM_027062,26,12,18,6,10,6,8,24,9,10,41,31
NM_001081387,0,0,0,0,0,0,0,0,0,0,0,0
NM_015770,0,0,0,0,0,0,0,0,0,0,0,0
NM_207680,598,949,688,550,448,214,481,365,538,356,601,633
NM_207681,452,74,344,109,304,171,283,315,224,215,469,182
NM_199025,171,153,143,111,174,82,121,165,216,119,285,157
NM_199027,1563,1528,1299,1281,1283,573,1311,1282,1395,985,2426,1488
NM_199022,89,143,129,70,66,31,90,167,267,118,254,89
NM_199023,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291151,2,0,0,0,0,0,0,0,0,0,0,0
NM_001291150,0,0,0,0,0,0,0,0,0,0,5,0
NM_001291152,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291155,204,1059,1112,722,962,323,93,275,607,522,1202,1141
NM_001291154,0,0,0,0,0,0,0,0,0,0,0,0
NM_009047,1667,1410,1351,1098,1150,513,1167,1020,1061,627,1534,1462
NM_001190400,0,0,4,0,0,0,0,1,0,0,4,0
NM_001205282,0,0,0,0,0,0,0,0,0,0,0,0
NM_001172160,0,94,58,29,52,17,35,26,4,36,43,94
NM_008545,3,7,3,4,2,1,2,7,3,2,10,2
NM_001162417,261,311,247,216,302,138,160,56,340,212,428,328
NM_001113573,1835,2010,1434,1675,1842,922,1636,1734,2082,695,2790,1989
NM_001113574,3,24,5,4,0,0,307,9,4,584,21,224
NR_045541,0,0,0,0,0,0,0,0,0,0,0,0
NR_045542,0,0,0,0,0,0,0,0,0,0,0,0
NM_001006664,1365,1646,1385,1063,1174,849,1292,1232,1630,907,1799,1651
NM_019501,78,89,63,51,65,29,84,75,95,114,195,88
NM_001162418,423,609,391,351,295,124,330,319,561,307,662,376
NM_013822,300,531,532,519,449,310,617,402,514,370,622,625
NM_013825,4,2,5,0,0,0,2,34,97,23,80,3
NM_013829,498,669,548,469,401,261,499,483,483,352,832,687
NM_001033136,735,746,715,543,584,288,556,704,824,582,1195,811
NM_001164819,0,0,0,0,0,0,0,0,0,0,0,0
NM_001164818,7,14,1,0,0,6,16,13,3,0,291,11
NM_001164813,1,6,2,6,1,2,2,1,13,2,2,1
NM_201367,231,402,393,220,221,69,190,957,1349,692,1436,308
NM_001081010,0,0,0,0,0,0,0,0,0,0,0,0
NM_028528,0,0,0,0,0,0,0,0,0,0,0,0
NM_001141933,18,6,6,1,2,2,23,43,0,27,19,1
NM_001141932,567,770,865,1018,330,317,1394,708,921,974,1588,737
NM_001141931,938,451,752,671,787,359,809,788,824,1402,1427,735
NM_026446,124,294,267,87,192,0,207,293,282,239,228,43
NM_011249,162,238,222,146,132,66,182,390,686,427,642,231
NM_011246,3,5,3,0,0,2,3,3,0,5,15,0
NM_001101804,0,0,0,0,0,0,0,0,0,0,417,0
NM_001113400,3,0,0,2,23,0,0,0,0,0,50,0
NR_110572,152,179,194,145,150,63,189,139,142,96,210,209
NR_105963,0,0,0,1,1,1,2,1,0,2,0,1
NR_105962,0,1,1,0,0,0,0,0,0,0,1,0
NR_105965,1,1,1,0,2,0,1,2,1,0,2,1
NR_105964,1,4,2,3,3,1,2,1,1,1,3,2
NR_105967,4,1,1,1,1,1,1,0,2,0,3,4
NM_173180,1321,1703,1345,1116,1235,589,1261,1526,1917,1149,2520,1465
NR_105969,1,1,1,1,0,1,1,3,1,1,1,1
NR_105968,0,0,1,1,0,0,1,0,0,0,1,1
NM_001080968,1012,1408,276,572,445,479,308,504,209,790,1423,347
NM_001271584,1370,1811,584,568,789,116,1851,897,131,220,2201,1726
NM_001111290,204,287,198,0,0,0,0,1953,1983,564,1252,492
NM_001289594,0,0,0,0,0,0,0,0,0,0,0,0
NM_001244198,0,0,0,0,0,0,0,0,0,0,0,0
NM_008792,0,2,3,4,4,4,2,0,2,0,0,15
NM_029022,384,510,369,294,327,177,299,331,366,236,438,391
NM_028518,372,468,360,434,330,166,307,176,147,188,382,457
NM_001166206,0,0,0,0,0,0,0,0,0,0,0,0
NM_026620,652,715,624,496,587,273,530,744,858,529,1053,655
NM_026627,1,0,0,0,0,0,1,2,0,0,0,0
NR_046046,0,0,0,0,0,0,0,3,3,0,2,0
NM_026624,0,0,0,0,0,0,0,0,0,0,3,0
NM_001164072,434,559,396,392,252,215,467,391,672,378,761,574
NM_001164071,70,13,136,17,142,3,19,97,56,12,381,19
NM_009730,2631,2663,2504,1790,2151,1137,2425,2163,2418,1676,3702,2761
NM_001003961,0,2,145,119,95,64,49,124,38,70,165,86
NM_001083810,492,253,235,158,444,136,347,309,300,463,427,721
NM_133673,2277,2604,2396,1794,1938,930,1949,2080,2261,1457,3176,2543
NM_133851,20,31,39,27,41,12,46,59,280,180,225,46
NM_133850,765,962,811,646,757,269,726,829,893,544,1292,877
NM_001287738,0,0,0,2703,0,125,0,908,0,837,0,0
NM_133852,3323,3251,3557,2774,3209,1155,3219,3181,3643,1901,5015,4031
NM_144893,923,0,880,774,703,0,771,906,1031,10,1,725
NR_015474,0,0,0,0,0,0,0,0,0,0,0,0
NM_020296,2216,2708,2086,808,1297,915,834,2114,2168,601,3666,2607
NR_015476,256,301,220,218,233,107,212,196,216,172,289,227
NR_015473,440,421,516,324,279,171,317,396,551,365,729,472
NM_010249,15,112,94,61,88,13,52,111,101,94,151,84
NM_001100591,964,871,639,490,1039,313,1013,894,985,629,1368,769
NR_077245,0,0,0,169,0,0,0,0,0,0,197,92
NM_026828,351,451,439,359,405,233,380,546,494,381,730,347
NM_138665,1704,1810,1481,1086,1507,643,1460,2270,2785,1845,3502,1566
NM_146434,0,0,0,0,0,0,0,0,0,0,0,0
NR_024068,37,36,44,32,34,11,27,39,56,44,119,55
NR_037297,0,0,0,0,0,0,0,0,0,0,0,0
NM_001083921,2410,2603,2157,1779,1922,914,1915,2038,2301,1427,3457,2445
NM_020615,2421,3226,2761,1988,2389,1143,2468,3178,3514,2401,4764,2901
NM_001081162,11,33,5,28,16,8,9,23,31,15,41,22
NM_001081161,6250,6099,5481,3748,4993,2418,5168,5063,5007,3448,6889,6177
NM_028248,1849,2214,1848,1522,1773,919,1841,1590,1570,1545,3366,2082
NM_001097977_1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001126338,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145034,11855,8995,8406,6919,7410,4147,7700,6663,3836,4164,14562,9439
NM_001011734,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011732,0,0,0,0,0,0,2,0,2,0,4,0
NM_001164477,0,0,136,0,159,5,0,708,133,0,0,0
NM_024196,1478,1417,1386,1041,1213,609,1388,1444,1783,1083,2259,1521
NR_015500,40,60,22,43,50,23,41,18,26,24,36,32
NM_207235,0,0,0,0,0,0,0,0,0,0,0,0
NM_207234,954,1052,958,814,828,424,830,899,1085,604,1703,1033
NM_001037177,0,0,0,0,0,0,0,0,0,0,0,0
NM_181399,0,0,2,412,1,0,0,0,1,0,1,0
NM_030137,44,67,18,23,32,10,27,32,35,26,44,36
NM_146817,0,0,0,0,0,0,0,0,0,0,0,0
NM_001163452,3423,3936,3134,3079,3323,1806,3329,3659,4109,2578,6104,4030
NM_080510,5,15,10,4,7,3,8,34,20,18,44,3
NM_001145015,0,0,0,0,0,0,0,0,0,0,0,0
NM_001002791,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081092,961,953,826,792,828,419,976,674,798,554,1373,908
NM_001080548,1511,1444,1278,408,919,554,1051,1387,1388,943,2142,1417
NM_001081090,567,789,547,411,501,242,537,591,651,530,988,615
NM_146253,310,359,278,192,274,103,222,286,352,236,452,320
NM_146252,1434,1577,1406,1154,1409,647,1333,1580,1710,1069,2364,1579
NM_146251,572,634,602,564,507,238,383,494,525,483,848,736
NM_172475,0,0,0,0,0,0,0,0,0,0,0,0
NM_172471,1330,3013,2381,2764,2061,1129,2342,1683,2200,1142,1462,3541
NM_010611,0,0,0,0,0,0,0,0,0,0,0,0
NM_001145100,0,0,0,0,0,0,0,0,0,0,0,0
NM_025753,0,0,0,0,0,0,0,0,0,0,0,0
NM_025403,724,955,824,643,681,326,681,718,756,482,983,832
NM_172672,834,924,857,641,721,346,727,737,655,488,1087,919
NM_172673,32,91,71,45,22,7,42,70,138,81,120,58
NM_172670,0,0,0,0,0,0,0,0,0,0,0,0
NM_172671,328,381,368,365,396,191,378,319,370,272,486,462
NM_010446,0,0,0,0,0,0,0,0,0,0,0,0
NM_030059,0,0,0,0,0,0,0,0,0,0,0,0
NM_172674,1263,1344,1262,931,1071,564,1033,1060,1140,792,1666,1439
NM_172675,365,418,571,636,347,311,846,459,587,228,1160,939
NR_030601,0,0,0,0,0,0,0,0,0,0,0,0
NM_030058,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177843,77,99,88,273,61,31,82,86,157,92,220,75
NR_030609,0,0,0,0,0,0,0,0,0,0,0,0
NM_175280,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177844,1429,1418,1061,679,1100,470,1105,1362,1566,1113,1922,1251
NM_001081548,27,56,1428,674,118,330,856,391,971,411,1599,6
NM_147030,0,0,0,0,0,0,0,0,0,0,0,0
NM_147031,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242380,0,4,7,15,14,0,0,4,0,5,9,38
NR_105755,0,0,0,0,0,0,0,0,0,0,0,0
NM_001037933,0,0,0,0,0,0,0,0,0,0,0,0
NM_001242381,0,0,0,0,0,0,0,0,0,0,0,0
NM_027656,88,65,36,76,54,22,34,95,84,58,167,81
NM_009823,376,472,373,0,363,24,311,302,591,169,555,383
NR_040509,0,0,0,0,0,0,0,0,0,0,0,0
NR_040508,0,0,0,0,0,0,0,0,0,0,0,0
NR_040505,0,3,0,0,0,0,0,0,3,0,0,0
NR_040504,0,0,5,3,0,0,3,0,0,4,10,0
NR_040503,0,0,0,0,0,0,0,0,0,0,0,0
NR_040502,0,0,0,0,0,0,0,0,0,0,0,0
NM_001039386,15,14,11,7,7,2,7,5,7,3,14,8
NM_001039387,2829,3142,2895,2386,2602,1098,2258,2183,2426,1495,3653,2921
NM_145851,1014,974,1017,792,909,344,941,911,946,621,1540,1010
NR_040501,0,0,0,0,0,0,0,0,0,0,0,0
NM_030725,2,22,32,16,5,0,0,172,519,117,119,14
NR_029755,1,3,2,0,1,0,1,0,0,0,1,0
NR_029752,0,0,0,0,0,0,0,0,0,0,0,0
NR_027373,362,719,436,272,246,97,588,340,426,603,686,155
NR_027372,2432,2550,1337,1576,2388,945,2953,3521,2578,2528,5986,2660
NM_001001309,44297,41146,37589,21284,24926,14773,29013,24758,21060,16709,32049,42104
NM_176950,0,0,0,0,0,0,0,0,0,0,0,0
NM_001271430,2933,886,1206,448,1776,419,627,536,2175,464,1004,2087
NM_001271431,0,0,0,0,0,0,0,0,0,0,0,0
NM_001271432,0,0,0,0,0,0,0,1,5,0,0,0
NM_009335,0,0,0,0,0,0,0,0,0,0,0,0
NM_009228,1249,1373,1071,897,1031,523,1145,1129,1199,1118,2006,1146
NM_182840,5,0,9,0,7,3,0,16,30,4,12,4
NM_009225,3090,3776,3153,2597,2959,1323,2772,3408,3983,2439,5159,3474
NM_024199,641,677,589,445,465,210,501,589,711,482,1007,629
NM_009222,1198,1549,1253,848,1157,592,1187,1585,1671,1178,2547,1340
NM_198176,150,262,190,99,175,63,148,145,138,68,245,210
NM_178408,0,0,62,0,107,44,98,0,58,0,0,0
NR_037256_4,0,0,0,0,0,0,0,0,0,0,0,0
NM_178404,492,813,577,449,348,239,353,308,291,312,489,706
NM_175123,832,972,858,586,733,328,687,685,809,501,1045,957
NR_040348,0,0,0,0,0,0,0,0,0,0,0,0
NM_010695,0,0,0,0,0,0,0,0,0,0,0,0
NR_037256_5,0,0,0,0,0,0,0,0,0,0,0,0
NM_001141977,49,55,1,20,45,3,64,232,256,80,174,42
NM_001039701,0,8,23,10,0,0,0,38,66,60,26,3
NM_001271724,53,7,83,0,0,0,77,88,100,58,154,103
NR_027970,0,0,0,0,0,0,0,0,0,0,0,0
NM_018828,1587,1864,1520,1547,1376,625,1470,1418,1541,1195,3093,1651
NM_001255994,0,93,0,0,0,0,111,0,0,0,152,0
NR_045896,0,0,0,0,0,0,0,0,0,0,0,0
NM_026992,219,234,179,172,184,82,178,215,230,157,334,224
NM_001255993,165,170,197,198,208,80,76,209,217,179,254,266
NM_018824,2557,2908,2762,2058,2152,1096,2338,2242,2331,1917,4154,3137
NM_001159551,813,786,1917,596,451,155,815,627,552,791,2877,673
NM_001159552,72,85,103,78,88,29,54,73,58,26,200,101
NM_001159553,350,313,336,258,268,98,273,369,409,262,853,320
NM_213733,2089,2159,1744,1712,1786,796,1681,1585,1753,1225,2851,1903
NM_053011,0,0,0,0,0,0,0,0,0,0,0,0
NR_045335,0,0,0,0,0,0,0,0,0,0,0,0
NM_146742,0,0,0,0,0,0,0,0,0,0,0,0
NM_175667,0,5,7,5,0,0,2,0,7,3,6,10
NM_019667,1162,1292,1114,770,932,533,1028,1394,1556,1180,2097,1234
NM_080641,0,0,0,0,0,0,0,0,0,0,0,0
NM_001281829,176,152,1,0,1,76,1,207,81,0,123,0
NM_019406,41,160,63,67,75,19,110,34,88,97,174,215
NM_019401,88,127,0,0,0,0,0,0,79,0,70,65
NM_174988,361,404,395,283,326,132,404,230,291,126,212,369
NM_015765,707,888,751,564,634,303,712,910,1098,714,1548,754
NM_007694,3,3,4,6,2,3,0,0,4,0,6,6
NM_028593,128,108,168,95,130,78,101,70,89,50,86,224
NR_033471,0,0,0,0,0,0,0,0,0,0,0,0
NR_033470,0,0,0,0,0,0,0,0,0,0,0,0
NR_033473,0,0,0,0,0,0,0,0,0,0,0,0
NM_009037,10338,10346,8737,6603,9597,4167,9811,8100,9962,7002,12210,9899
NM_009036,0,0,0,0,2,0,4,0,0,0,0,0
